ID,job,marital,education,default,housing,loan,contact,month,poutcome,label
CLIENT81,retired,married,primary,no,no,no,cellular,aug,unknown,no
CLIENT82,admin.,single,secondary,no,yes,yes,cellular,may,unknown,no
CLIENT83,services,married,secondary,no,no,no,telephone,jul,failure,yes
CLIENT84,management,married,tertiary,no,no,no,cellular,jun,unknown,yes
CLIENT85,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
CLIENT86,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT87,blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
CLIENT88,admin.,married,secondary,no,yes,no,cellular,apr,unknown,no
CLIENT89,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT90,blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
CLIENT91,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
CLIENT92,services,single,secondary,no,yes,no,cellular,may,unknown,yes
CLIENT93,management,single,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT94,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT95,unknown,single,tertiary,no,no,no,cellular,jul,unknown,no
CLIENT96,admin.,married,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT97,admin.,single,tertiary,no,no,no,cellular,oct,failure,no
CLIENT98,blue-collar,divorced,secondary,no,no,no,cellular,feb,success,no
CLIENT99,unemployed,single,primary,no,no,no,cellular,feb,unknown,yes
CLIENT100,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT101,management,single,tertiary,no,yes,no,cellular,may,failure,no
CLIENT102,technician,married,secondary,no,no,no,telephone,nov,unknown,no
CLIENT103,services,single,primary,no,yes,no,telephone,may,unknown,no
CLIENT104,management,single,secondary,no,no,no,unknown,aug,unknown,no
CLIENT105,management,single,tertiary,no,yes,no,cellular,apr,failure,no
CLIENT106,blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,no
CLIENT107,self-employed,married,tertiary,no,yes,no,cellular,feb,unknown,no
CLIENT108,unemployed,married,primary,no,no,no,cellular,apr,unknown,yes
CLIENT109,housemaid,married,primary,no,yes,no,cellular,jul,unknown,no
CLIENT110,student,single,secondary,no,no,no,cellular,jun,success,yes
CLIENT111,management,married,tertiary,no,yes,no,telephone,jul,unknown,no
CLIENT112,self-employed,married,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT113,blue-collar,single,secondary,no,no,no,cellular,jan,failure,no
CLIENT114,student,single,secondary,no,no,no,telephone,aug,unknown,yes
CLIENT115,technician,single,secondary,no,no,yes,cellular,nov,unknown,yes
CLIENT116,services,married,secondary,no,yes,no,cellular,may,unknown,no
CLIENT117,admin.,single,secondary,no,no,yes,cellular,aug,unknown,no
CLIENT118,blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
CLIENT119,management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
CLIENT120,admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT121,blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
CLIENT122,technician,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT123,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT124,management,single,tertiary,yes,yes,no,cellular,may,failure,no
CLIENT125,self-employed,single,tertiary,no,no,no,cellular,aug,unknown,yes
CLIENT126,unemployed,single,secondary,no,no,no,unknown,sep,unknown,no
CLIENT127,technician,single,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT128,blue-collar,single,secondary,no,no,no,telephone,feb,failure,no
CLIENT129,retired,divorced,tertiary,no,no,no,cellular,apr,unknown,yes
CLIENT130,blue-collar,married,primary,no,yes,no,cellular,nov,unknown,no
CLIENT131,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
CLIENT132,blue-collar,married,unknown,yes,yes,no,unknown,may,unknown,no
CLIENT133,admin.,married,unknown,no,yes,no,cellular,may,failure,no
CLIENT134,technician,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT135,management,single,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT136,admin.,single,secondary,no,yes,yes,cellular,may,failure,no
CLIENT137,management,single,tertiary,no,no,no,cellular,feb,unknown,no
CLIENT138,management,married,tertiary,no,yes,no,cellular,feb,unknown,yes
CLIENT139,management,married,unknown,no,no,no,unknown,jun,unknown,no
CLIENT140,management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT141,management,single,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT142,services,divorced,unknown,no,yes,no,unknown,may,unknown,no
CLIENT143,management,single,tertiary,no,yes,no,cellular,nov,unknown,no
CLIENT144,admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT145,management,married,tertiary,no,no,yes,cellular,aug,unknown,no
CLIENT146,retired,married,primary,no,no,yes,unknown,jun,unknown,no
CLIENT147,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT148,admin.,married,secondary,no,yes,no,cellular,jan,other,no
CLIENT149,technician,single,unknown,no,yes,no,unknown,may,unknown,no
CLIENT150,entrepreneur,married,unknown,no,yes,no,unknown,may,unknown,no
CLIENT151,management,single,tertiary,no,yes,yes,cellular,jul,unknown,no
CLIENT152,unemployed,divorced,primary,yes,yes,yes,unknown,jul,unknown,no
CLIENT153,entrepreneur,married,secondary,no,no,no,cellular,feb,unknown,no
CLIENT154,technician,married,secondary,no,no,no,unknown,may,unknown,no
CLIENT155,technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
CLIENT156,admin.,married,secondary,no,no,no,cellular,jun,success,yes
CLIENT157,technician,married,secondary,no,yes,no,cellular,jan,failure,no
CLIENT158,self-employed,single,secondary,no,no,no,cellular,jan,unknown,no
CLIENT159,technician,married,secondary,no,yes,no,cellular,apr,unknown,no
CLIENT160,blue-collar,married,tertiary,no,no,no,unknown,oct,unknown,no
CLIENT161,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT162,admin.,single,secondary,no,no,yes,unknown,may,unknown,no
CLIENT163,services,married,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT164,management,single,tertiary,no,no,no,cellular,oct,failure,yes
CLIENT165,admin.,single,secondary,no,yes,no,unknown,jun,unknown,no
CLIENT166,housemaid,married,secondary,no,no,no,telephone,mar,unknown,no
CLIENT167,blue-collar,divorced,secondary,no,yes,no,cellular,jan,unknown,no
CLIENT168,technician,married,tertiary,no,no,no,unknown,may,unknown,no
CLIENT169,blue-collar,single,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT170,technician,married,secondary,no,no,no,unknown,jun,unknown,no
CLIENT171,management,single,tertiary,no,no,no,cellular,jan,unknown,no
CLIENT172,admin.,single,secondary,no,yes,yes,cellular,apr,other,no
CLIENT173,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT174,management,married,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT175,admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT176,admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT177,admin.,married,secondary,no,yes,no,cellular,may,failure,no
CLIENT178,unknown,married,unknown,no,no,no,unknown,jun,unknown,no
CLIENT179,admin.,married,tertiary,no,yes,no,cellular,nov,failure,no
CLIENT180,technician,single,tertiary,no,yes,yes,cellular,feb,unknown,no
CLIENT181,services,single,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT182,admin.,single,secondary,no,yes,no,cellular,may,unknown,no
CLIENT183,admin.,divorced,secondary,no,no,no,unknown,jun,unknown,no
CLIENT184,services,married,secondary,no,yes,no,unknown,jun,unknown,no
CLIENT185,self-employed,married,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT186,admin.,married,tertiary,no,yes,no,telephone,nov,success,no
CLIENT187,services,single,secondary,no,yes,no,cellular,feb,other,no
CLIENT188,technician,married,secondary,no,yes,no,cellular,may,failure,no
CLIENT189,retired,married,secondary,no,yes,no,cellular,jun,unknown,yes
CLIENT190,blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,no
CLIENT191,self-employed,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT192,management,single,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT193,services,married,secondary,no,no,no,unknown,jun,unknown,no
CLIENT194,student,single,secondary,no,no,no,cellular,jun,unknown,no
CLIENT195,retired,divorced,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT196,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT197,services,married,secondary,no,no,yes,cellular,nov,unknown,no
CLIENT198,technician,married,tertiary,no,no,no,cellular,apr,unknown,no
CLIENT199,retired,married,secondary,no,no,no,telephone,apr,success,yes
CLIENT200,technician,single,tertiary,no,yes,no,cellular,may,success,no
CLIENT201,technician,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT202,technician,single,tertiary,no,yes,no,cellular,aug,failure,yes
CLIENT203,management,divorced,tertiary,no,yes,no,cellular,nov,failure,no
CLIENT204,blue-collar,single,tertiary,no,no,no,telephone,apr,unknown,yes
CLIENT205,technician,single,tertiary,no,yes,no,cellular,nov,unknown,no
CLIENT206,technician,married,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT207,technician,married,secondary,no,yes,no,cellular,jul,failure,no
CLIENT208,services,single,secondary,no,yes,no,cellular,feb,failure,no
CLIENT209,retired,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT210,technician,single,secondary,no,yes,no,cellular,aug,unknown,no
CLIENT211,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
CLIENT212,technician,married,tertiary,no,yes,no,cellular,may,other,no
CLIENT213,self-employed,married,secondary,no,no,no,cellular,nov,unknown,no
CLIENT214,management,married,tertiary,yes,no,no,cellular,aug,unknown,no
CLIENT215,management,married,tertiary,no,yes,no,cellular,aug,unknown,yes
CLIENT216,technician,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT217,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
CLIENT218,blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,no
CLIENT219,services,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT220,retired,married,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT221,technician,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT222,blue-collar,married,primary,no,no,no,unknown,may,unknown,no
CLIENT223,self-employed,married,primary,no,no,no,cellular,aug,unknown,no
CLIENT224,management,married,primary,no,yes,no,cellular,nov,unknown,no
CLIENT225,services,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT226,technician,married,secondary,no,no,no,cellular,may,unknown,no
CLIENT227,technician,married,secondary,no,yes,no,cellular,apr,other,no
CLIENT228,blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
CLIENT229,technician,married,tertiary,no,yes,yes,cellular,sep,other,no
CLIENT230,unknown,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT231,entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,no
CLIENT232,technician,single,secondary,no,yes,no,cellular,may,failure,no
CLIENT233,blue-collar,single,secondary,no,yes,no,cellular,jul,success,no
CLIENT234,student,single,secondary,no,no,no,cellular,jan,unknown,no
CLIENT235,technician,divorced,secondary,yes,no,no,cellular,aug,unknown,no
CLIENT236,blue-collar,married,secondary,no,yes,no,cellular,apr,other,no
CLIENT237,technician,married,unknown,no,yes,no,unknown,may,unknown,no
CLIENT238,housemaid,married,primary,no,no,no,unknown,jun,unknown,no
CLIENT239,unemployed,married,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT240,admin.,single,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT241,self-employed,married,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT242,management,married,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT243,admin.,married,secondary,no,yes,yes,unknown,jun,unknown,no
CLIENT244,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT245,management,married,tertiary,no,yes,no,cellular,jan,other,no
CLIENT246,management,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT247,unemployed,single,secondary,no,no,no,cellular,may,unknown,no
CLIENT248,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT249,technician,married,secondary,no,no,yes,cellular,may,failure,no
CLIENT250,management,married,tertiary,no,yes,no,cellular,feb,unknown,no
CLIENT251,management,married,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT252,blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown,no
CLIENT253,retired,married,primary,no,yes,no,cellular,feb,failure,no
CLIENT254,blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
CLIENT255,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT256,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
CLIENT257,unemployed,single,secondary,no,no,no,cellular,aug,unknown,no
CLIENT258,technician,divorced,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT259,blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
CLIENT260,housemaid,married,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT261,technician,single,secondary,no,no,no,cellular,aug,unknown,no
CLIENT262,technician,single,tertiary,no,no,no,cellular,feb,unknown,no
CLIENT263,entrepreneur,married,tertiary,no,no,yes,cellular,jul,unknown,no
CLIENT264,technician,married,tertiary,no,no,no,cellular,aug,failure,no
CLIENT265,self-employed,married,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT266,student,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT267,technician,married,tertiary,no,yes,yes,cellular,jul,unknown,no
CLIENT268,admin.,single,secondary,no,yes,no,telephone,jul,unknown,no
CLIENT269,services,divorced,secondary,no,no,no,cellular,jul,unknown,no
CLIENT270,services,married,secondary,no,yes,no,cellular,jun,failure,no
CLIENT271,blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
CLIENT272,management,married,secondary,no,no,no,unknown,jun,unknown,no
CLIENT273,self-employed,married,secondary,no,yes,no,cellular,nov,unknown,no
CLIENT274,blue-collar,single,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT275,technician,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT276,housemaid,married,tertiary,no,no,no,cellular,aug,failure,no
CLIENT277,technician,single,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT278,blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
CLIENT279,blue-collar,divorced,primary,no,yes,no,cellular,may,unknown,no
CLIENT280,self-employed,married,tertiary,no,no,no,unknown,may,unknown,no
CLIENT281,blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
CLIENT282,blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
CLIENT283,admin.,divorced,secondary,no,no,no,unknown,may,unknown,no
CLIENT284,student,married,secondary,no,no,no,unknown,jun,unknown,no
CLIENT285,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT286,admin.,married,secondary,no,yes,no,unknown,jun,unknown,no
CLIENT287,self-employed,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT288,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
CLIENT289,admin.,married,tertiary,no,no,yes,cellular,aug,success,yes
CLIENT290,blue-collar,married,primary,no,yes,no,cellular,aug,unknown,yes
CLIENT291,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT292,services,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT293,technician,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
CLIENT294,management,married,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT295,entrepreneur,divorced,unknown,yes,yes,no,cellular,jul,unknown,yes
CLIENT296,management,married,tertiary,no,no,no,cellular,jan,unknown,no
CLIENT297,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
CLIENT298,entrepreneur,married,secondary,no,yes,yes,cellular,jul,unknown,yes
CLIENT299,blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,yes
CLIENT300,retired,divorced,primary,no,no,no,cellular,may,unknown,no
CLIENT301,retired,divorced,primary,no,no,no,cellular,jun,failure,no
CLIENT302,blue-collar,married,secondary,no,yes,no,telephone,jul,unknown,no
CLIENT303,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT304,management,married,unknown,no,no,yes,cellular,jul,unknown,no
CLIENT305,technician,married,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT306,entrepreneur,married,secondary,no,yes,no,cellular,apr,unknown,yes
CLIENT307,unemployed,married,primary,no,yes,yes,unknown,may,unknown,no
CLIENT308,management,married,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT309,admin.,married,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT310,blue-collar,married,secondary,no,yes,yes,cellular,may,failure,no
CLIENT311,management,married,unknown,no,no,no,cellular,jan,unknown,no
CLIENT312,blue-collar,single,primary,no,yes,no,cellular,jul,unknown,no
CLIENT313,management,married,tertiary,no,no,yes,cellular,aug,unknown,no
CLIENT314,admin.,single,tertiary,no,yes,no,cellular,may,failure,yes
CLIENT315,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
CLIENT316,blue-collar,married,secondary,no,no,no,cellular,feb,unknown,no
CLIENT317,admin.,married,primary,no,no,yes,unknown,jun,unknown,no
CLIENT318,entrepreneur,married,secondary,no,no,no,cellular,may,failure,yes
CLIENT319,unemployed,single,secondary,no,no,no,unknown,may,unknown,no
CLIENT320,admin.,married,unknown,no,no,no,unknown,jun,unknown,no
CLIENT321,blue-collar,married,secondary,no,no,no,cellular,feb,unknown,no
CLIENT322,self-employed,single,tertiary,no,no,yes,cellular,jul,unknown,no
CLIENT323,management,married,tertiary,no,no,no,cellular,aug,success,yes
CLIENT324,blue-collar,married,primary,no,yes,yes,unknown,jun,unknown,no
CLIENT325,technician,married,secondary,no,no,no,cellular,nov,failure,no
CLIENT326,unemployed,married,secondary,no,no,yes,cellular,nov,unknown,no
CLIENT327,entrepreneur,single,tertiary,no,yes,no,cellular,jul,unknown,yes
CLIENT328,unemployed,married,secondary,no,no,no,cellular,dec,success,yes
CLIENT329,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT330,admin.,married,secondary,no,no,no,cellular,jul,unknown,no
CLIENT331,technician,single,tertiary,no,yes,no,cellular,apr,other,no
CLIENT332,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT333,services,married,primary,no,yes,no,cellular,jul,unknown,yes
CLIENT334,management,single,tertiary,no,no,no,cellular,apr,unknown,yes
CLIENT335,management,divorced,tertiary,no,no,yes,unknown,may,unknown,no
CLIENT336,blue-collar,married,primary,no,no,no,unknown,sep,unknown,no
CLIENT337,management,single,tertiary,no,yes,no,cellular,feb,failure,no
CLIENT338,retired,married,primary,no,no,no,cellular,oct,success,no
CLIENT339,self-employed,divorced,primary,no,no,no,cellular,may,unknown,no
CLIENT340,management,married,tertiary,no,yes,yes,cellular,nov,failure,no
CLIENT341,retired,married,tertiary,no,no,no,cellular,feb,unknown,no
CLIENT342,management,single,tertiary,no,no,yes,cellular,jul,unknown,no
CLIENT343,self-employed,single,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT344,management,single,unknown,no,yes,no,cellular,apr,unknown,no
CLIENT345,blue-collar,single,secondary,no,yes,yes,cellular,may,failure,no
CLIENT346,management,married,tertiary,no,no,no,cellular,jul,unknown,no
CLIENT347,management,married,primary,no,no,no,cellular,sep,success,yes
CLIENT348,admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT349,self-employed,married,tertiary,no,yes,no,cellular,may,failure,no
CLIENT350,blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
CLIENT351,management,married,tertiary,yes,yes,no,cellular,nov,unknown,no
CLIENT352,management,married,tertiary,no,no,yes,cellular,jul,unknown,no
CLIENT353,management,married,tertiary,no,no,no,cellular,nov,failure,no
CLIENT354,management,married,tertiary,no,yes,no,cellular,may,failure,no
CLIENT355,services,single,secondary,no,yes,no,unknown,may,unknown,no
CLIENT356,services,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT357,management,single,unknown,no,no,no,cellular,feb,unknown,no
CLIENT358,admin.,divorced,secondary,no,no,no,cellular,apr,unknown,yes
CLIENT359,student,single,secondary,no,yes,no,cellular,may,unknown,no
CLIENT360,management,single,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT361,blue-collar,married,primary,no,yes,yes,cellular,may,unknown,no
CLIENT362,housemaid,married,primary,no,yes,no,unknown,may,unknown,no
CLIENT363,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,no
CLIENT364,management,married,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT365,student,single,secondary,no,no,no,cellular,sep,unknown,no
CLIENT366,technician,single,secondary,no,yes,no,cellular,apr,unknown,no
CLIENT367,management,single,tertiary,no,yes,no,cellular,apr,failure,no
CLIENT368,technician,single,primary,no,no,no,cellular,aug,unknown,yes
CLIENT369,entrepreneur,married,secondary,no,yes,no,cellular,nov,other,no
CLIENT370,housemaid,married,tertiary,no,no,no,unknown,jun,unknown,no
CLIENT371,retired,married,primary,no,no,no,cellular,jun,unknown,no
CLIENT372,services,married,secondary,no,no,no,unknown,jun,unknown,no
CLIENT373,technician,married,secondary,no,yes,no,cellular,aug,unknown,no
CLIENT374,admin.,married,secondary,no,yes,no,cellular,may,failure,no
CLIENT375,services,single,secondary,no,yes,no,cellular,may,failure,no
CLIENT376,management,married,primary,no,yes,no,unknown,jun,unknown,no
CLIENT377,management,married,tertiary,no,yes,no,cellular,may,failure,yes
CLIENT378,technician,divorced,primary,no,yes,no,unknown,may,unknown,no
CLIENT379,services,single,secondary,no,yes,no,cellular,may,unknown,no
CLIENT380,blue-collar,married,secondary,no,yes,no,cellular,apr,failure,no
CLIENT381,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
