ID,school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,label
STUDENT31,GP,M,U,GT3,T,high,high,services,services,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,good,mediocre,very_bad,very_bad,very_bad,excellent,one_to_three,B
STUDENT32,GP,M,R,GT3,T,high,mid,teacher,at_home,course,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,yes,good,excellent,bad,very_bad,very_bad,excellent,none,B
STUDENT33,GP,M,U,LE3,T,mid,mid,other,other,course,mother,low,medium,none,no,no,no,yes,no,yes,yes,no,excellent,mediocre,bad,very_bad,very_bad,bad,none,C
STUDENT34,GP,M,U,GT3,T,mid,mid,other,other,home,mother,low,low,none,no,yes,no,no,no,yes,yes,no,excellent,good,mediocre,very_bad,very_bad,excellent,four_to_six,C
STUDENT35,GP,F,U,GT3,T,mid,mid,other,other,other,father,medium,low,none,no,yes,no,yes,yes,yes,no,no,mediocre,excellent,very_bad,very_bad,very_bad,excellent,four_to_six,D
STUDENT36,GP,M,U,LE3,T,high,mid,teacher,services,home,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,excellent,good,mediocre,very_bad,very_bad,good,none,B
STUDENT37,GP,M,R,GT3,A,high,high,other,teacher,reputation,mother,medium,high,none,no,yes,no,yes,yes,yes,yes,yes,bad,good,mediocre,very_bad,very_bad,excellent,four_to_six,C
STUDENT38,GP,F,R,GT3,T,mid,high,services,health,course,mother,low,high,none,yes,yes,no,yes,yes,yes,yes,no,good,mediocre,bad,very_bad,very_bad,excellent,one_to_three,C
STUDENT39,GP,F,R,GT3,T,mid,mid,at_home,other,reputation,mother,low,low,none,yes,yes,no,yes,yes,yes,no,no,good,mediocre,very_bad,very_bad,very_bad,bad,more_than_ten,C
STUDENT40,GP,F,U,LE3,T,mid,mid,other,other,home,mother,medium,medium,none,no,yes,no,yes,no,yes,yes,yes,mediocre,mediocre,mediocre,very_bad,bad,mediocre,more_than_ten,D
STUDENT41,GP,M,U,LE3,T,high,high,teacher,other,home,other,low,low,none,no,yes,no,no,no,yes,yes,yes,excellent,good,mediocre,bad,good,excellent,more_than_ten,D
STUDENT42,GP,M,U,GT3,T,high,high,services,teacher,course,father,low,medium,none,no,yes,no,yes,yes,yes,yes,no,good,mediocre,mediocre,very_bad,very_bad,excellent,none,B
STUDENT43,GP,M,U,GT3,T,mid,mid,services,services,course,father,low,low,none,yes,yes,no,no,yes,yes,yes,no,excellent,good,very_bad,very_bad,very_bad,very_bad,none,D
STUDENT44,GP,F,U,LE3,T,mid,mid,other,at_home,course,father,medium,medium,low,yes,no,no,yes,yes,yes,yes,no,good,mediocre,mediocre,bad,bad,excellent,more_than_ten,D
STUDENT45,GP,F,U,LE3,A,high,mid,other,other,course,mother,low,medium,none,yes,yes,yes,yes,yes,yes,yes,yes,excellent,bad,bad,very_bad,very_bad,excellent,four_to_six,D
STUDENT46,GP,F,U,LE3,A,mid,mid,other,services,home,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,bad,mediocre,excellent,very_bad,good,mediocre,four_to_six,C
STUDENT47,GP,M,U,GT3,T,high,mid,health,services,reputation,mother,low,very_high,none,no,no,no,yes,yes,yes,yes,no,good,bad,bad,very_bad,very_bad,bad,one_to_three,A
STUDENT48,GP,M,U,GT3,T,high,mid,teacher,other,home,mother,low,medium,none,no,yes,no,no,yes,yes,no,no,good,mediocre,mediocre,bad,bad,excellent,four_to_six,C
STUDENT49,GP,F,U,GT3,T,high,high,services,teacher,other,father,low,medium,none,yes,yes,no,yes,no,yes,yes,no,good,good,good,very_bad,very_bad,mediocre,one_to_three,C
STUDENT50,GP,F,U,LE3,T,mid,mid,services,services,course,mother,high,medium,none,no,yes,no,no,yes,yes,yes,no,good,mediocre,mediocre,bad,mediocre,good,none,C
STUDENT51,GP,F,U,LE3,T,high,mid,health,other,other,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,good,mediocre,mediocre,very_bad,very_bad,excellent,none,A
STUDENT52,GP,M,U,LE3,A,high,mid,health,health,other,father,medium,low,none,no,no,no,no,yes,yes,no,no,excellent,excellent,excellent,mediocre,good,excellent,four_to_six,F
STUDENT53,GP,F,U,GT3,T,high,high,services,services,course,mother,low,low,none,yes,yes,no,no,yes,yes,yes,no,mediocre,mediocre,good,bad,mediocre,excellent,none,C
STUDENT54,GP,F,U,LE3,A,mid,mid,other,other,other,mother,low,low,none,no,no,no,no,yes,yes,yes,no,excellent,mediocre,good,good,good,very_bad,none,C
STUDENT55,GP,F,U,GT3,A,mid,low,other,other,other,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,excellent,mediocre,good,very_bad,very_bad,bad,one_to_three,C
STUDENT56,GP,F,U,GT3,A,high,mid,services,services,reputation,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,good,mediocre,bad,very_bad,very_bad,very_bad,none,B
STUDENT57,GP,M,U,GT3,T,high,high,teacher,health,reputation,mother,low,medium,none,no,yes,no,yes,yes,yes,no,no,mediocre,bad,bad,very_bad,very_bad,excellent,more_than_ten,A
STUDENT58,GP,M,U,LE3,T,low,mid,other,at_home,home,father,low,medium,none,yes,yes,no,yes,yes,yes,yes,no,good,mediocre,bad,very_bad,very_bad,excellent,none,B
STUDENT59,GP,F,U,GT3,T,high,mid,services,other,course,mother,low,medium,none,no,yes,yes,no,yes,yes,yes,no,good,bad,mediocre,very_bad,very_bad,excellent,one_to_three,A
STUDENT60,GP,F,R,GT3,T,high,high,health,teacher,other,mother,low,medium,none,no,yes,no,yes,yes,yes,no,no,bad,good,good,bad,mediocre,good,none,A
STUDENT61,GP,F,U,GT3,T,low,low,services,services,course,father,very_high,low,none,yes,yes,no,yes,no,yes,yes,yes,excellent,excellent,excellent,excellent,excellent,excellent,none,A
STUDENT62,GP,F,U,LE3,T,low,mid,other,services,reputation,father,low,medium,none,yes,no,no,yes,yes,yes,yes,no,good,good,mediocre,very_bad,very_bad,very_bad,none,D
STUDENT63,GP,F,U,GT3,T,high,mid,teacher,health,home,mother,low,high,none,yes,yes,no,yes,yes,yes,yes,no,mediocre,good,good,bad,good,good,none,C
STUDENT64,GP,F,U,LE3,T,high,mid,services,services,reputation,father,low,medium,none,yes,no,no,yes,yes,yes,yes,yes,good,good,good,bad,good,bad,none,C
STUDENT65,GP,F,U,LE3,T,high,mid,teacher,services,course,mother,high,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,good,mediocre,very_bad,bad,very_bad,one_to_three,A
STUDENT66,GP,M,U,GT3,A,high,high,other,services,reputation,mother,low,very_high,none,no,yes,no,yes,no,yes,yes,yes,very_bad,mediocre,mediocre,excellent,excellent,mediocre,none,C
STUDENT67,GP,F,U,GT3,T,mid,low,services,other,course,mother,low,very_high,none,yes,yes,no,no,yes,yes,yes,no,good,mediocre,mediocre,very_bad,bad,excellent,none,D
STUDENT68,GP,F,R,LE3,T,mid,mid,health,services,reputation,mother,medium,medium,none,yes,yes,no,no,yes,yes,yes,no,good,very_bad,mediocre,very_bad,mediocre,good,none,D
STUDENT69,GP,F,R,LE3,T,mid,low,other,other,reputation,father,medium,very_high,none,no,yes,no,no,no,yes,yes,no,good,good,bad,bad,mediocre,mediocre,four_to_six,B
STUDENT70,GP,M,U,GT3,T,mid,low,other,other,reputation,father,medium,very_high,none,no,yes,no,no,yes,yes,yes,no,good,mediocre,bad,very_bad,very_bad,excellent,one_to_three,D
STUDENT71,GP,M,U,GT3,T,high,mid,other,other,course,mother,low,very_high,none,no,no,no,no,yes,yes,yes,no,mediocre,mediocre,mediocre,very_bad,very_bad,mediocre,none,D
STUDENT72,GP,F,R,GT3,T,low,low,other,other,reputation,mother,low,medium,none,yes,yes,no,no,no,yes,yes,yes,mediocre,mediocre,good,bad,good,excellent,one_to_three,D
STUDENT73,GP,M,U,GT3,T,mid,low,other,other,reputation,mother,low,low,none,no,no,no,yes,yes,yes,no,no,excellent,mediocre,bad,bad,bad,excellent,none,B
STUDENT74,GP,F,U,GT3,T,mid,mid,other,services,home,mother,low,medium,none,yes,yes,no,yes,yes,yes,yes,no,good,mediocre,mediocre,bad,good,excellent,four_to_six,D
STUDENT75,GP,M,U,GT3,T,high,mid,teacher,other,home,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,good,mediocre,mediocre,bad,mediocre,excellent,none,D
STUDENT76,GP,M,U,GT3,T,high,none,teacher,other,course,mother,medium,very_high,none,no,no,no,yes,yes,yes,yes,no,mediocre,good,mediocre,very_bad,very_bad,very_bad,none,D
STUDENT77,GP,F,U,GT3,T,mid,mid,other,other,reputation,mother,low,very_high,none,no,no,no,no,yes,yes,yes,yes,excellent,bad,mediocre,very_bad,mediocre,mediocre,one_to_three,C
STUDENT78,GP,M,U,GT3,T,mid,low,other,other,home,mother,medium,low,high,yes,yes,no,yes,yes,no,yes,no,good,excellent,very_bad,very_bad,very_bad,mediocre,none,D
STUDENT79,GP,F,U,GT3,T,mid,high,at_home,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,bad,good,mediocre,very_bad,bad,mediocre,more_than_ten,D
STUDENT80,GP,M,U,GT3,T,mid,mid,other,services,course,father,low,low,none,yes,yes,no,yes,no,yes,yes,yes,mediocre,bad,bad,very_bad,mediocre,mediocre,none,C
STUDENT81,GP,M,U,GT3,T,mid,mid,other,other,home,mother,low,high,none,yes,no,no,no,no,yes,yes,no,excellent,mediocre,bad,very_bad,bad,excellent,one_to_three,F
STUDENT82,GP,F,U,LE3,T,mid,mid,services,other,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,good,good,good,very_bad,very_bad,excellent,four_to_six,D
STUDENT83,GP,M,U,LE3,T,mid,mid,services,services,home,mother,medium,medium,none,no,no,yes,yes,yes,yes,yes,no,excellent,mediocre,mediocre,very_bad,mediocre,good,one_to_three,C
STUDENT84,GP,F,U,GT3,T,low,low,other,other,home,father,low,medium,none,no,yes,no,yes,no,yes,yes,no,good,mediocre,bad,bad,mediocre,good,one_to_three,C
STUDENT85,GP,F,U,GT3,T,high,high,services,services,reputation,father,medium,medium,none,no,no,no,no,yes,yes,yes,yes,good,good,good,bad,mediocre,excellent,four_to_six,C
STUDENT86,GP,F,U,LE3,T,mid,mid,at_home,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,no,no,good,mediocre,good,very_bad,bad,bad,four_to_six,D
STUDENT87,GP,F,U,GT3,T,high,mid,other,other,reputation,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,excellent,mediocre,mediocre,very_bad,mediocre,very_bad,four_to_six,B
STUDENT88,GP,M,U,GT3,T,mid,mid,services,other,reputation,father,medium,medium,none,no,no,no,yes,no,yes,yes,no,good,good,bad,very_bad,very_bad,mediocre,four_to_six,D
STUDENT89,GP,M,U,LE3,A,high,high,teacher,health,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,no,no,good,very_bad,mediocre,mediocre,excellent,excellent,four_to_six,D
STUDENT90,GP,F,U,GT3,T,mid,mid,other,other,home,mother,low,high,none,no,yes,no,no,yes,yes,yes,yes,good,mediocre,mediocre,very_bad,mediocre,good,one_to_three,D
STUDENT91,GP,F,U,GT3,T,high,mid,services,other,reputation,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,good,excellent,excellent,very_bad,mediocre,very_bad,four_to_six,C
STUDENT92,GP,F,U,LE3,T,mid,low,other,other,home,father,low,medium,none,yes,yes,no,no,yes,yes,no,no,mediocre,mediocre,mediocre,bad,mediocre,bad,none,C
STUDENT93,GP,F,U,GT3,T,high,mid,teacher,services,home,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,mediocre,mediocre,very_bad,very_bad,very_bad,one_to_three,B
STUDENT94,GP,M,U,LE3,T,mid,mid,services,health,reputation,mother,low,very_high,none,no,yes,no,yes,yes,yes,yes,no,good,mediocre,good,very_bad,very_bad,good,one_to_three,C
STUDENT95,GP,F,R,GT3,T,low,low,at_home,other,home,mother,medium,very_high,none,yes,yes,yes,yes,yes,yes,yes,no,mediocre,very_bad,bad,very_bad,very_bad,very_bad,four_to_six,C
STUDENT96,GP,M,R,GT3,T,high,mid,services,other,reputation,mother,medium,low,none,yes,yes,yes,yes,no,yes,yes,no,mediocre,mediocre,mediocre,very_bad,very_bad,good,four_to_six,D
STUDENT97,GP,F,U,GT3,T,mid,low,other,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,no,yes,good,mediocre,excellent,very_bad,very_bad,excellent,none,C
STUDENT98,GP,F,U,GT3,T,high,high,other,other,reputation,mother,low,low,none,no,no,no,yes,no,yes,yes,no,excellent,mediocre,good,very_bad,bad,very_bad,four_to_six,C
STUDENT99,GP,F,U,GT3,T,high,mid,other,at_home,course,mother,low,high,none,yes,yes,no,no,yes,yes,yes,no,excellent,mediocre,excellent,very_bad,very_bad,mediocre,one_to_three,C
STUDENT100,GP,M,U,GT3,T,high,high,services,services,other,mother,low,low,none,yes,yes,no,yes,yes,yes,yes,no,good,excellent,excellent,excellent,excellent,good,more_than_ten,F
STUDENT101,GP,M,U,GT3,T,high,high,services,teacher,other,father,low,high,none,no,yes,no,yes,yes,yes,yes,yes,good,good,mediocre,very_bad,very_bad,good,none,A
STUDENT102,GP,M,U,GT3,T,high,high,services,other,course,mother,low,low,none,no,yes,yes,yes,no,yes,yes,no,excellent,mediocre,mediocre,very_bad,very_bad,excellent,one_to_three,C
STUDENT103,GP,F,U,GT3,T,mid,mid,services,other,home,mother,medium,medium,none,yes,yes,no,no,yes,yes,yes,no,good,mediocre,excellent,very_bad,very_bad,bad,more_than_ten,D
STUDENT104,GP,M,U,GT3,A,mid,high,services,other,course,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,good,good,very_bad,very_bad,very_bad,none,A
STUDENT105,GP,F,U,GT3,A,mid,mid,other,health,reputation,father,low,very_high,none,yes,no,no,no,yes,yes,no,no,good,mediocre,mediocre,very_bad,very_bad,good,more_than_ten,D
STUDENT106,GP,F,U,GT3,T,mid,mid,other,other,course,mother,low,very_high,none,yes,yes,no,no,yes,yes,yes,no,excellent,very_bad,bad,very_bad,very_bad,mediocre,four_to_six,D
STUDENT107,GP,M,U,GT3,T,mid,mid,services,other,home,father,low,high,none,no,yes,no,yes,yes,yes,yes,no,excellent,mediocre,mediocre,very_bad,very_bad,excellent,four_to_six,B
STUDENT108,GP,M,R,GT3,T,high,high,other,other,home,father,very_high,very_high,none,no,yes,no,yes,yes,yes,yes,yes,very_bad,mediocre,excellent,mediocre,excellent,very_bad,more_than_ten,D
STUDENT109,GP,F,U,LE3,T,high,high,health,health,other,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,excellent,good,excellent,very_bad,very_bad,good,one_to_three,B
STUDENT110,GP,M,U,LE3,A,high,high,teacher,teacher,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,excellent,excellent,mediocre,very_bad,very_bad,good,four_to_six,B
STUDENT111,GP,F,R,GT3,T,mid,mid,services,other,reputation,father,low,high,none,yes,yes,no,yes,yes,yes,yes,no,good,very_bad,bad,very_bad,very_bad,bad,four_to_six,D
STUDENT112,GP,F,U,GT3,T,mid,mid,at_home,other,home,mother,low,medium,low,yes,no,no,yes,yes,yes,yes,no,mediocre,very_bad,bad,very_bad,very_bad,excellent,more_than_ten,D
STUDENT113,GP,M,U,LE3,T,high,mid,teacher,other,course,mother,low,low,none,no,no,no,no,yes,yes,yes,no,mediocre,excellent,bad,very_bad,very_bad,mediocre,more_than_ten,A+
STUDENT114,GP,M,R,GT3,T,mid,low,health,services,reputation,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,excellent,good,bad,very_bad,very_bad,excellent,four_to_six,D
STUDENT115,GP,M,U,GT3,T,high,high,teacher,teacher,course,father,low,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,good,good,very_bad,bad,excellent,four_to_six,B
STUDENT116,GP,M,U,GT3,T,high,high,other,teacher,reputation,father,medium,medium,none,no,yes,no,yes,yes,yes,no,no,good,good,mediocre,very_bad,very_bad,bad,four_to_six,A
STUDENT117,GP,M,U,GT3,T,mid,mid,other,services,home,father,medium,low,none,no,no,no,yes,yes,yes,yes,no,excellent,good,bad,very_bad,very_bad,excellent,four_to_six,B
STUDENT118,GP,M,R,GT3,T,low,mid,other,other,course,father,high,medium,low,no,yes,no,yes,yes,yes,yes,no,excellent,bad,good,very_bad,good,excellent,more_than_ten,D
STUDENT119,GP,M,U,GT3,T,mid,high,other,other,reputation,father,low,low,none,no,no,no,no,yes,yes,yes,no,mediocre,good,mediocre,very_bad,bad,good,one_to_three,B
STUDENT120,GP,F,U,GT3,T,low,mid,at_home,services,course,mother,low,medium,none,no,no,no,no,no,yes,yes,no,mediocre,bad,mediocre,very_bad,bad,very_bad,none,B
STUDENT121,GP,M,U,GT3,T,mid,mid,services,services,home,father,low,very_high,none,no,yes,no,yes,yes,yes,yes,no,excellent,excellent,good,very_bad,bad,excellent,four_to_six,C
STUDENT122,GP,F,U,LE3,T,mid,high,other,health,course,father,medium,medium,none,no,yes,no,yes,yes,yes,yes,yes,good,bad,bad,very_bad,bad,excellent,one_to_three,C
STUDENT123,GP,M,U,GT3,T,high,high,health,other,course,mother,low,low,none,no,yes,no,yes,yes,yes,yes,no,mediocre,good,good,very_bad,good,excellent,four_to_six,C
STUDENT124,GP,F,U,GT3,T,mid,mid,other,other,home,mother,low,medium,none,no,no,no,no,yes,yes,yes,yes,excellent,good,good,very_bad,very_bad,excellent,none,D
STUDENT125,GP,M,U,GT3,T,mid,high,services,services,home,father,low,low,none,yes,no,no,no,yes,yes,yes,no,excellent,excellent,excellent,mediocre,bad,excellent,one_to_three,F
STUDENT126,GP,F,U,LE3,A,mid,high,other,other,home,mother,low,medium,none,yes,no,no,yes,yes,yes,yes,yes,excellent,mediocre,bad,very_bad,very_bad,very_bad,none,D
STUDENT127,GP,F,U,GT3,T,none,low,at_home,other,course,other,low,medium,medium,no,yes,no,no,no,no,no,no,mediocre,good,bad,very_bad,very_bad,excellent,none,D
STUDENT128,GP,M,R,GT3,T,high,high,teacher,teacher,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,mediocre,excellent,excellent,bad,excellent,good,more_than_ten,B
STUDENT129,GP,M,U,GT3,T,mid,mid,other,other,course,mother,medium,high,none,no,yes,no,no,no,yes,yes,yes,mediocre,bad,mediocre,bad,bad,very_bad,four_to_six,C
STUDENT130,GP,F,R,GT3,T,mid,high,services,teacher,course,father,medium,high,none,no,yes,no,no,yes,yes,yes,yes,good,bad,bad,bad,bad,excellent,none,C
STUDENT131,GP,F,U,GT3,T,mid,low,services,other,reputation,mother,low,medium,high,no,yes,no,yes,yes,no,yes,yes,excellent,good,excellent,very_bad,mediocre,excellent,more_than_ten,F
STUDENT132,GP,F,U,LE3,A,mid,low,other,other,course,mother,high,low,none,no,yes,no,no,yes,yes,yes,no,mediocre,bad,bad,very_bad,bad,excellent,more_than_ten,D
STUDENT133,GP,F,U,GT3,T,low,low,at_home,other,course,mother,high,low,none,no,yes,no,yes,no,yes,yes,yes,good,mediocre,mediocre,very_bad,bad,good,four_to_six,C
STUDENT134,GP,F,U,LE3,T,mid,mid,other,other,course,father,low,low,none,no,yes,no,no,yes,yes,yes,yes,mediocre,good,good,very_bad,mediocre,excellent,one_to_three,C
STUDENT135,GP,F,U,GT3,A,mid,high,services,other,course,father,low,low,none,no,no,no,no,yes,yes,yes,no,mediocre,bad,very_bad,very_bad,good,excellent,more_than_ten,B
STUDENT136,GP,M,U,GT3,T,mid,low,at_home,other,course,mother,very_high,low,none,no,no,no,no,yes,yes,no,no,mediocre,bad,very_bad,very_bad,very_bad,bad,four_to_six,D
STUDENT137,GP,F,U,GT3,A,mid,mid,other,other,home,mother,low,low,low,no,no,no,no,yes,yes,no,no,excellent,mediocre,good,very_bad,very_bad,excellent,more_than_ten,D
STUDENT138,GP,M,R,GT3,T,mid,high,at_home,teacher,course,mother,very_high,medium,none,no,yes,no,no,yes,yes,no,yes,excellent,mediocre,mediocre,very_bad,very_bad,excellent,one_to_three,D
STUDENT139,GP,F,U,GT3,T,high,high,services,at_home,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,good,mediocre,mediocre,very_bad,very_bad,excellent,four_to_six,B
STUDENT140,GP,M,R,GT3,T,mid,high,at_home,other,course,mother,high,medium,none,no,no,no,no,yes,yes,no,no,excellent,good,excellent,bad,good,excellent,one_to_three,D
STUDENT141,GP,F,R,GT3,T,low,low,at_home,other,course,mother,very_high,medium,none,no,yes,no,no,yes,yes,no,no,excellent,very_bad,mediocre,very_bad,very_bad,mediocre,none,C
STUDENT142,GP,M,U,LE3,T,mid,low,services,services,course,mother,medium,low,none,no,no,no,yes,yes,yes,yes,yes,mediocre,mediocre,good,good,excellent,good,one_to_three,C
STUDENT143,GP,F,U,GT3,A,mid,mid,other,services,course,other,low,high,none,no,yes,no,yes,no,yes,yes,yes,good,mediocre,mediocre,excellent,very_bad,excellent,more_than_ten,D
STUDENT144,GP,F,R,GT3,T,low,low,other,services,reputation,mother,medium,low,none,no,yes,no,yes,yes,yes,no,yes,mediocre,mediocre,mediocre,very_bad,bad,very_bad,more_than_ten,D
STUDENT145,GP,F,U,GT3,A,mid,mid,other,other,course,other,medium,low,none,no,yes,no,yes,no,yes,yes,yes,good,mediocre,bad,very_bad,very_bad,excellent,four_to_six,D
STUDENT146,GP,M,U,LE3,T,low,low,services,other,course,mother,low,medium,medium,no,no,no,no,yes,yes,no,yes,good,good,good,very_bad,mediocre,excellent,none,D
STUDENT147,GP,F,U,GT3,T,high,high,teacher,teacher,course,mother,medium,low,none,no,no,no,yes,yes,yes,yes,no,good,mediocre,bad,very_bad,very_bad,excellent,four_to_six,B
